b u
b a
h [v] l
h [v] l
h a l
h e&#720 l
h a m
h a m
h a&#720 m
h o m
h u&#720 m
h a p
h i p'
h u p'
h a r
h a r
h a&#720 r
h a r
h [v] r
h u r
h a&#720 s
h a&#720 s'
h e s'
h a t'
h a&#720 t'
h a t&#620'
h a y s'
h a z
h o&#720 z
h e&#720 &#660
h o&#720 &#660
h a &#661
l a
l [v]
l a&#720
l o
l i b
l i&#720 b
l i b
l i b
i b
l a b
l a f
l e f
l e g &#660
l a g&#695
l a&#720 g&#695
l a&#720 &#611
l [v] &#611
l o h
l e &#295
l e&#720 &#295
l a [v]
l a k
l a k'
l a k'
l [v] m
l e p'
l a&#720 s
l i s'
l a &#643
l t'
l a&#720 w
l a&#720 x
l o x&#695
l a y g&#695
l i &#661
l i &#661 b
d&#622 [v]
d&#622 a
d&#622 [v] b
d&#622 [v] b &#661
d&#622 i b
d&#622 [v] f
d&#622 [v] f
d&#622 e g
d&#622 o g
d&#622 [v&#720] g&#695
d&#622 a h
d&#622 a &#295
d&#622 [v] k&#695
d&#622 e&#720 k'
d&#622 o k&#695'
d&#622 u m
d&#622 [v] p'
d&#622 a p'
d&#622 [v] p'
d&#622 i r
d&#622 [v] r
d&#622 a [c]
d&#622 a &#660
d&#622 a& &#660
d&#622 i&#720 &#660
d&#622 [v] &#661
a&#720 &#620
&#620 e
&#620 a b
&#620 a f
&#620 u f
&#620 u&#720 f
&#620 a g
&#620 a& &#611
&#620 e&#720 h
&#620 e&#720 h
&#620 a &#295
&#620 i&#720 &#295
&#620 a&#720 k&#695
&#620 i k&#695
&#620 a k&#695'
&#620 a m
&#620 a&#720 m
&#620 u&#720 m
&#620 i &#331
&#620 [v] p
&#620 [v] p'
&#620 u p'
&#620 a r
&#620 a w
&#620 o w
&#620 a &#660
&#620 a&#720 &#660
&#620 o &#660
&#620 [v] &#660 r
&#620 e &#661
&#620 [v] &#661 f
t&#620' a b
t&#620' [v] b
t&#620' a b
t&#620' a f
t&#620' e&#720 &#611
t&#620' i&#720 &#611&#695
t&#620' i h
t&#620' a &#295
t&#620' o&#720 &#295
t&#620' [v] k&#695
t&#620' o k'
t&#620' o&#720 k'
t&#620' [v] k&#695
t&#620' a l
t&#620' a l
t&#620' i l
t&#620' [v] m
t&#620' i n
t&#620' [v] p
t&#620' e tl'
t&#620' a [c]
t&#620' o w
t&#620' u w
t&#620' a y
t&#620' a y &#331
t&#620' i y
t&#620' i z
t&#620' [v] z
t&#620' [v] z
t&#620' o &#660
t&#620' a &#661
t&#620' i&#720 &#661
a r
r [v]
r a
r a w
r a b
r [v] b
r o&#720 b
r u&#720 b
r [v] d
r [v] d&#622
r [v] f
r [v] g
r [v] g
r a &#611&#695
r [v] h
r u k
r i [k']
r e p
r i p
r a [v]
r e y b
r i&#720 z
r u z
r u &#660
r a&#720 &#661
r a&#720 &#661
w [v]
w e&#720 b
w e c&#597
w a& c&#597'
w i c&#597'
w a d
w a d&#622
w a d&#622
w a&#720 d&#622
w a&#720 g
w a&#720 g
w a &#295
w a &#295
w a&#720 &#295
w a j
w i j
w a k
w a [k']
w e k'
w [v] l
w i l
w a n
w a p'
w [v] r
w a r
w [v] r
w a&#720 r
w i r
w i s
w i &#643
w e tl'
w i i tl'
w i [c]
w a x
w a y n
w a y s
w i z
w a &#660
w a&#720 &#660
w a&#720 &#660
w a &#661
w a &#661
w a&#720 &#661
y o
y a b
y e d
y u f
y a g&#695
y a h
y a k&#695
y a&#720 k&#695
y a k'
y a l
y u &#620
y a m
y a&#720 r
y a w
y a w
y a w r
y [v] x&#695
y a
y a &#660
y u &#660
y a &#661
i
y i
